Base Value, Collisions
523, 163
79, 172
431, 175
2, 176
283, 180
313, 181
103, 182
173, 182
181, 182
199, 182
41, 183
229, 183
11, 185
367, 185
47, 186
113, 186
137, 186
257, 186
23, 187
463, 187
53, 189
311, 189
167, 190
193, 190
379, 190
251, 192
461, 192
131, 193
541, 193
3, 194
13, 194
271, 194
373, 194
449, 194
7, 195
17, 195
317, 195
59, 196
439, 196
457, 196
277, 197
359, 197
157, 198
163, 198
179, 198
83, 199
233, 199
293, 199
191, 200
241, 201
383, 201
401, 201
503, 201
67, 202
353, 202
149, 203
239, 203
479, 203
101, 204
421, 204
521, 204
263, 205
347, 205
349, 205
443, 205
5, 206
109, 206
491, 206
151, 207
71, 208
227, 208
419, 208
433, 208
197, 209
409, 209
211, 210
223, 210
43, 211
31, 212
331, 212
397, 213
29, 214
97, 214
107, 214
337, 214
307, 216
487, 216
73, 217
269, 217
389, 219
61, 220
281, 220
509, 220
19, 221
139, 221
467, 222
37, 223
127, 224
89, 229
499, 242
